prompt,answer,topic,family,difficulty
Who recorded the 1980s hit 'Listen to Your Heart'?,Roxette,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'West End Girls'?,Pet Shop Boys,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'Footloose'?,Kenny Loggins,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'Karma Chameleon'?,Culture Club,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'When Doves Cry'?,Prince,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'Sweet Child o' Mine'?,Guns N' Roses,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'Nothing's Gonna Stop Us Now'?,Starship,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'Smooth Operator'?,Sade,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'There Is a Light That Never Goes Out'?,The Smiths,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'Time After Time'?,Cyndi Lauper,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'Girls Just Want to Have Fun'?,Cyndi Lauper,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'The Final Countdown'?,Europe,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'Faith'?,George Michael,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'True'?,Spandau Ballet,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'Two Tribes'?,Frankie Goes to Hollywood,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'Only in My Dreams'?,Debbie Gibson,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'This Charming Man'?,The Smiths,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'The Look'?,Roxette,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'There Must Be an Angel (Playing with My Heart)'?,Eurythmics,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'Red Red Wine'?,UB40,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'Don't You Want Me'?,The Human League,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'Billie Jean'?,Michael Jackson,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'You Make My Dreams'?,Hall & Oates,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'Every Little Thing She Does Is Magic'?,The Police,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'Do You Really Want to Hurt Me'?,Culture Club,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'Wanted Dead or Alive'?,Bon Jovi,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'You Spin Me Round (Like a Record)'?,Dead or Alive,1980s — Pop Global Hits,Music,mid
