prompt,answer,topic,family,difficulty
Which artist recorded the 1980s synth‑pop/new wave track 'Karma Chameleon'?,Culture Club,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'Rio'?,Duran Duran,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'Whip It'?,Devo,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'Quiet Life'?,Japan,1980s — Synth‑Pop & New Wave,Music,mid
"Which artist recorded the 1980s synth‑pop/new wave track 'Say Hello, Wave Goodbye'?",Soft Cell,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'Just Can't Get Enough'?,Depeche Mode,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'Sweet Dreams (Are Made of This)'?,Eurythmics,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'Smalltown Boy'?,Bronski Beat,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'West End Girls'?,Pet Shop Boys,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'The Safety Dance'?,Men Without Hats,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'Reward'?,The Teardrop Explodes,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'Underpass'?,John Foxx,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'The Look of Love'?,ABC,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'Life's What You Make It'?,Talk Talk,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'Voices Carry'?,'Til Tuesday,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'Just Can't Get Enough'?,Depeche Mode,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'It's My Life'?,Talk Talk,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'Under the Milky Way'?,The Church,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'Why?'?,Bronski Beat,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'Is There Something I Should Know?'?,Duran Duran,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'Always on My Mind'?,Pet Shop Boys,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'Just Can't Get Enough'?,Depeche Mode,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'Ghosts'?,Japan,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'Together in Electric Dreams'?,Philip Oakey & Giorgio Moroder,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'Mad World'?,Tears for Fears,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'Just Can't Get Enough'?,Depeche Mode,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'Don't You Want Me'?,The Human League,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'Let Me Go'?,Heaven 17,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'Just Can't Get Enough'?,Depeche Mode,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'Maid of Orleans'?,Orchestral Manoeuvres in the Dark,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'Just Can't Get Enough'?,Depeche Mode,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'Just Can't Get Enough'?,Depeche Mode,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'Temptation'?,Heaven 17,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'Here Comes the Rain Again'?,Eurythmics,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'Church of the Poison Mind'?,Culture Club,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'Are 'Friends' Electric?'?,Tubeway Army,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'Sometimes'?,Erasure,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'Reap the Wild Wind'?,Ultravox,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'Bedsitter'?,Soft Cell,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'Love My Way'?,The Psychedelic Furs,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'Enola Gay'?,Orchestral Manoeuvres in the Dark,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'Fade to Grey'?,Visage,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'A Little Respect'?,Erasure,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'The Riddle'?,Nik Kershaw,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'People Are People'?,Depeche Mode,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'Wishing (If I Had a Photograph of You)'?,A Flock of Seagulls,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'Chains of Love'?,Erasure,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'Forever Young'?,Alphaville,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'Talk Talk'?,Talk Talk,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'Don't Go'?,Yazoo,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'What Is Love?'?,Howard Jones,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'Human'?,The Human League,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'The Killing Moon'?,Echo & the Bunnymen,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'Lips Like Sugar'?,Echo & the Bunnymen,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'Poison Arrow'?,ABC,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'I Ran (So Far Away)'?,A Flock of Seagulls,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'Hide and Seek'?,Howard Jones,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'Just Can't Get Enough'?,Depeche Mode,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track '(Keep Feeling) Fascination'?,The Human League,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'New Song'?,Howard Jones,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'Big in Japan'?,Alphaville,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'Just Can't Get Enough'?,Depeche Mode,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'We Close Our Eyes'?,Go West,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'Obsession'?,Animotion,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'Just Can't Get Enough'?,Depeche Mode,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'Leave in Silence'?,Depeche Mode,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'Just Can't Get Enough'?,Depeche Mode,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'Just Can't Get Enough'?,Depeche Mode,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'Planet Earth'?,Duran Duran,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'Souvenir'?,Orchestral Manoeuvres in the Dark,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'Living on the Ceiling'?,Blancmange,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'Wouldn't It Be Good'?,Nik Kershaw,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'Dancing with Tears in My Eyes'?,Ultravox,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'Just Can't Get Enough'?,Depeche Mode,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'Bizarre Love Triangle'?,New Order,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'Just Can't Get Enough'?,Depeche Mode,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'It's a Sin'?,Pet Shop Boys,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'True Faith'?,New Order,1980s — Synth‑Pop & New Wave,Music,mid
