prompt,answer,choices,topic,family,difficulty
Choose the correct spelling:,left,lefft|laft|letf,Spelling,en-GB,starter
Choose the correct spelling:,work,worrk|wurk|wokr,Spelling,en-GB,starter
Choose the correct spelling:,night,nigght|neght|nght,Spelling,en-GB,starter
Choose the correct spelling:,someone,sommeone|somaone|smeone,Spelling,en-GB,starter
Choose the correct spelling:,nausea,naussea|nausee|neusea,Spelling,en-GB,intermediate
Choose the correct spelling:,school,scchool|schuol|schol,Spelling,en-GB,starter
Choose the correct spelling:,through,thhrough|thruugh|thrugh,Spelling,en-GB,starter
Choose the correct spelling:,after,affter|efter|aftr,Spelling,en-GB,starter
Choose the correct spelling:,embarrass,embarass|emberrass|embrrass,Spelling,en-GB,hard
Choose the correct spelling:,into,innto|intu|inot,Spelling,en-GB,starter
Choose the correct spelling:,which,whhich|whech|whch,Spelling,en-GB,starter
Choose the correct spelling:,time,timme|tima|tiem,Spelling,en-GB,starter
Choose the correct spelling:,come,coem|kome|coome,Spelling,en-GB,starter
Choose the correct spelling:,done,doen|doone|donetio,Spelling,en-GB,starter
Choose the correct spelling:,think,thhink|thenk|thnk,Spelling,en-GB,starter
Choose the correct spelling:,pastime,passtime|pestime|pstime,Spelling,en-GB,hard
Choose the correct spelling:,used,ussed|usad|usde,Spelling,en-GB,starter
Choose the correct spelling:,when,whhen|whan|whne,Spelling,en-GB,starter
Choose the correct spelling:,well,wel|welle|weell,Spelling,en-GB,starter
Choose the correct spelling:,need,nead|naed|nede,Spelling,en-GB,starter
Choose the correct spelling:,things,thhings|thengs|thngs,Spelling,en-GB,starter
Choose the correct spelling:,city,citty|cety|ciyt,Spelling,en-GB,starter
Choose the correct spelling:,definitely,deffinitely|dafinitely|dfinitely,Spelling,en-GB,starter
Choose the correct spelling:,other,otther|othar|othr,Spelling,en-GB,starter
Choose the correct spelling:,rhythm,rhhythm|rhyhtm|rhythme,Spelling,en-GB,intermediate
Choose the correct spelling:,will,wil|wille|wiill,Spelling,en-GB,starter
Choose the correct spelling:,until,unntil|ontil|untl,Spelling,en-GB,starter
Choose the correct spelling:,next,nexxt|naxt|netx,Spelling,en-GB,starter
Choose the correct spelling:,very,verry|veyr|verye,Spelling,en-GB,starter
Choose the correct spelling:,team,teem|tema|teame,Spelling,en-GB,starter
Choose the correct spelling:,right,rigght|reght|rght,Spelling,en-GB,starter
Choose the correct spelling:,family,fammily|femily|fmily,Spelling,en-GB,starter
Choose the correct spelling:,might,migght|meght|mght,Spelling,en-GB,starter
Choose the correct spelling:,accommodate,acommodate|eccommodate|accmmodate,Spelling,en-GB,intermediate
Choose the correct spelling:,long,lonng|logn|longe,Spelling,en-GB,starter
Choose the correct spelling:,thought,thhought|thuught|thught,Spelling,en-GB,starter
Choose the correct spelling:,should,shhould|shuuld|shuld,Spelling,en-GB,starter
Choose the correct spelling:,being,beinng|bieng|baing,Spelling,en-GB,starter
Choose the correct spelling:,could,coulld|cuuld|culd,Spelling,en-GB,starter
Choose the correct spelling:,against,aggainst|egainst|aginst,Spelling,en-GB,starter
Choose the correct spelling:,same,samme|seme|saem,Spelling,en-GB,starter
Choose the correct spelling:,home,homa|hoem|hoome,Spelling,en-GB,starter
Choose the correct spelling:,sure,surre|suer|suure,Spelling,en-GB,starter
Choose the correct spelling:,second,seccond|sacond|scond,Spelling,en-GB,starter
Choose the correct spelling:,even,evven|aven|evne,Spelling,en-GB,starter
Choose the correct spelling:,much,mucch|moch|muhc,Spelling,en-GB,starter
Choose the correct spelling:,going,goinng|guing|ging,Spelling,en-GB,starter
Choose the correct spelling:,help,hellp|halp|hepl,Spelling,en-GB,starter
Choose the correct spelling:,around,arround|eround|arund,Spelling,en-GB,starter
Choose the correct spelling:,house,housse|housa|huse,Spelling,en-GB,starter
Choose the correct spelling:,back,bacck|bakc|bakk,Spelling,en-GB,starter
Choose the correct spelling:,money,monney|monay|mney,Spelling,en-GB,starter
Choose the correct spelling:,noticeable,notticeable|noticeeble|noticeible,Spelling,en-GB,intermediate
Choose the correct spelling:,good,guod|godo|goood,Spelling,en-GB,starter
Choose the correct spelling:,world,worrld|wurld|wrld,Spelling,en-GB,starter
Choose the correct spelling:,without,witthout|withuut|wthout,Spelling,en-GB,starter
Choose the correct spelling:,just,jusst|jost|juts,Spelling,en-GB,starter
Choose the correct spelling:,with,witth|weth|wiht,Spelling,en-GB,starter
Choose the correct spelling:,vacuum,vaccuum|vecuum|vcuum,Spelling,en-GB,intermediate
Choose the correct spelling:,keep,keap|kaep|kepe,Spelling,en-GB,starter
Choose the correct spelling:,want,wannt|watn|wante,Spelling,en-GB,starter
Choose the correct spelling:,years,yearrs|yeers|yars,Spelling,en-GB,starter
Choose the correct spelling:,from,frrom|frum|frmo,Spelling,en-GB,starter
Choose the correct spelling:,great,grreat|grat|graet,Spelling,en-GB,starter
Choose the correct spelling:,most,mosst|mots|moste,Spelling,en-GB,starter
Choose the correct spelling:,they,thhey|thye|theye,Spelling,en-GB,starter
Choose the correct spelling:,liaison,liaisson|lieison|laison,Spelling,en-GB,intermediate
Choose the correct spelling:,have,havve|heve|haev,Spelling,en-GB,starter
Choose the correct spelling:,three,thhree|threa|thrae,Spelling,en-GB,starter
Choose the correct spelling:,than,thhan|thna|thaan,Spelling,en-GB,starter
Choose the correct spelling:,been,baen|beene|beeen,Spelling,en-GB,starter
Choose the correct spelling:,look,luok|loko|looc,Spelling,en-GB,starter
Choose the correct spelling:,know,knnow|knuw|knwo,Spelling,en-GB,starter
Choose the correct spelling:,doing,doinng|duing|donig,Spelling,en-GB,starter
Choose the correct spelling:,free,frree|frea|frae,Spelling,en-GB,starter
Choose the correct spelling:,under,unnder|undar|undr,Spelling,en-GB,starter
Choose the correct spelling:,necessary,necesary|necessery|ncessary,Spelling,en-GB,starter
Choose the correct spelling:,occurrence,ocurrence|occurrance|occrrence,Spelling,en-GB,intermediate
Choose the correct spelling:,since,sinnce|sinca|snce,Spelling,en-GB,starter
Choose the correct spelling:,leisure,leissure|liesure|laisure,Spelling,en-GB,intermediate
Choose the correct spelling:,place,pllace|plece|plce,Spelling,en-GB,starter
Choose the correct spelling:,different,diferent|differant|diffarent,Spelling,en-GB,starter
Choose the correct spelling:,really,reelly|reallye|eally,Spelling,en-GB,starter
Choose the correct spelling:,take,takke|teke|taek,Spelling,en-GB,starter
Choose the correct spelling:,then,thhen|thne|thene,Spelling,en-GB,starter
Choose the correct spelling:,found,founnd|fuund|fonud,Spelling,en-GB,starter
Choose the correct spelling:,last,lasst|lats|laste,Spelling,en-GB,starter
Choose the correct spelling:,ever,evver|aver|evre,Spelling,en-GB,starter
Choose the correct spelling:,something,sommething|somathing|smething,Spelling,en-GB,starter
Choose the correct spelling:,more,morre|moer|moretio,Spelling,en-GB,starter
Choose the correct spelling:,such,succh|soch|suhc,Spelling,en-GB,starter
Choose the correct spelling:,love,lovve|lova|loev,Spelling,en-GB,starter
Choose the correct spelling:,please,pllease|pleese|plase,Spelling,en-GB,starter
Choose the correct spelling:,part,parrt|patr|paart,Spelling,en-GB,starter
Choose the correct spelling:,people,peopple|paople|pople,Spelling,en-GB,starter
Choose the correct spelling:,privilege,prrivilege|privilage|prvilege,Spelling,en-GB,intermediate
Choose the correct spelling:,play,pllay|pley|plya,Spelling,en-GB,starter
Choose the correct spelling:,prejudice,prrejudice|prajudice|prjudice,Spelling,en-GB,intermediate
Choose the correct spelling:,about,abbout|ebout|abut,Spelling,en-GB,starter
Choose the correct spelling:,these,thhese|thase|thse,Spelling,en-GB,starter
Choose the correct spelling:,entrepreneur,enntrepreneur|antrepreneur|entrpreneur,Spelling,en-GB,intermediate
Choose the correct spelling:,only,onnly|unly|onyl,Spelling,en-GB,starter
Choose the correct spelling:,principal,prrincipal|principel|prncipal,Spelling,en-GB,starter
Choose the correct spelling:,separate,sepparate|sparate|sepaarte,Spelling,en-GB,starter
Choose the correct spelling:,life,liffe|lifa|lief,Spelling,en-GB,starter
Choose the correct spelling:,here,herre|heer|heere,Spelling,en-GB,starter
Choose the correct spelling:,minuscule,minnuscule|minuscula|mnuscule,Spelling,en-GB,hard
Choose the correct spelling:,were,werre|weer|weere,Spelling,en-GB,starter
Choose the correct spelling:,precedence,prrecedence|precedance|pracedence,Spelling,en-GB,hard
Choose the correct spelling:,having,havving|heving|hving,Spelling,en-GB,starter
Choose the correct spelling:,millennium,milennium|millannium|mllennium,Spelling,en-GB,intermediate
Choose the correct spelling:,inadvertent,innadvertent|inadvertant|inedvertent,Spelling,en-GB,hard
Choose the correct spelling:,also,allso|elso|alos,Spelling,en-GB,starter
Choose the correct spelling:,away,awway|eway|awya,Spelling,en-GB,starter
Choose the correct spelling:,their,thheir|thair|thir,Spelling,en-GB,starter
Choose the correct spelling:,principle,prrinciple|principla|prnciple,Spelling,en-GB,intermediate
Choose the correct spelling:,number,nummber|numbar|nmber,Spelling,en-GB,starter
Choose the correct spelling:,those,thhose|thosa|thse,Spelling,en-GB,starter
Choose the correct spelling:,real,rela|reale|reeal,Spelling,en-GB,starter
Choose the correct spelling:,consensus,connsensus|consansus|cnsensus,Spelling,en-GB,intermediate
Choose the correct spelling:,however,howwever|howaver|hwever,Spelling,en-GB,starter
Choose the correct spelling:,them,thhem|tham|thme,Spelling,en-GB,starter
Choose the correct spelling:,where,whhere|whare|whre,Spelling,en-GB,starter
